Level 1,Level 2 ,Cell Type ,Effect ID,Experiment ID,Term,platform_id,comparison_id,Estimate,-log(FDR),stage,Group Size,Disease Name,fdr
Epithelial,Epithelial cell,basal cell of epidermis,AD,GSE32924,DZ_vs_HC,skin_v1,AD__GSE32924__GPL570__AD_vs_HC,0.004491069,1.213100559,datasets,25 | 8,atopic,0.061220862
Epithelial,Epithelial cell,granular cell of epidermis,AD,GSE32924,DZ_vs_HC,skin_v1,AD__GSE32924__GPL570__AD_vs_HC,-0.014482473,0.804539233,datasets,25 | 8,atopic,0.156841421
Epithelial,Epithelial cell,keratinocyte,AD,GSE32924,DZ_vs_HC,skin_v1,AD__GSE32924__GPL570__AD_vs_HC,-0.007560364,0.386581503,datasets,25 | 8,atopic,0.410599576
Epithelial,Epithelial cell,melanocyte,AD,GSE32924,DZ_vs_HC,skin_v1,AD__GSE32924__GPL570__AD_vs_HC,0.001702694,0.319569191,datasets,25 | 8,atopic,0.479105117
Epithelial,Epithelial cell,prickle cell,AD,GSE32924,DZ_vs_HC,skin_v1,AD__GSE32924__GPL570__AD_vs_HC,-2.437172830e-06,0.042691414,datasets,25 | 8,atopic,0.906376394
Immune,B cell,plasma cell,AD,GSE32924,DZ_vs_HC,skin_v1,AD__GSE32924__GPL570__AD_vs_HC,0.000312260,0.132950676,datasets,25 | 8,atopic,0.736290715
Immune,B cell,B cell,AD,GSE32924,DZ_vs_HC,skin_v1,AD__GSE32924__GPL570__AD_vs_HC,0.000312260,0.132950676,datasets,25 | 8,atopic,0.736290715
Immune,Dendritic cell,migratory conventional dendritic cell,AD,GSE32924,DZ_vs_HC,skin_v1,AD__GSE32924__GPL570__AD_vs_HC,0.001670610,3.070711093,datasets,25 | 8,atopic,0.000849746
Immune,Dendritic cell,Langerhans cell,AD,GSE32924,DZ_vs_HC,skin_v1,AD__GSE32924__GPL570__AD_vs_HC,-0.000924694,1.551823468,datasets,25 | 8,atopic,0.028065742
Immune,Dendritic cell,dendritic cell,AD,GSE32924,DZ_vs_HC,skin_v1,AD__GSE32924__GPL570__AD_vs_HC,0.001102949,0.571461154,datasets,25 | 8,atopic,0.268249454
Immune,Dendritic cell,conventional dendritic cell 2,AD,GSE32924,DZ_vs_HC,skin_v1,AD__GSE32924__GPL570__AD_vs_HC,0.000370818,0.127766471,datasets,25 | 8,atopic,0.745132539
Immune,Granulocyte,mast cell,AD,GSE32924,DZ_vs_HC,skin_v1,AD__GSE32924__GPL570__AD_vs_HC,-0.000746537,1.551823468,datasets,25 | 8,atopic,0.028065742
Immune,Granulocyte,granulocyte,AD,GSE32924,DZ_vs_HC,skin_v1,AD__GSE32924__GPL570__AD_vs_HC,-0.000746537,1.551823468,datasets,25 | 8,atopic,0.028065742
Immune,Innate lymphoid cell,natural killer cell,AD,GSE32924,DZ_vs_HC,skin_v1,AD__GSE32924__GPL570__AD_vs_HC,0.001764931,0.951169985,datasets,25 | 8,atopic,0.111899982
Immune,Innate lymphoid cell,innate lymphoid cell,AD,GSE32924,DZ_vs_HC,skin_v1,AD__GSE32924__GPL570__AD_vs_HC,-8.927230835e-07,0.084528038,datasets,25 | 8,atopic,0.823136694
Immune,Macrophage,macrophage,AD,GSE32924,DZ_vs_HC,skin_v1,AD__GSE32924__GPL570__AD_vs_HC,0.006015747,1.551823468,datasets,25 | 8,atopic,0.028065742
Immune,Monocyte,monocyte,AD,GSE32924,DZ_vs_HC,skin_v1,AD__GSE32924__GPL570__AD_vs_HC,1.671761172e-09,0.008953598,datasets,25 | 8,atopic,0.979594644
Immune,T cell,regulatory T cell,AD,GSE32924,DZ_vs_HC,skin_v1,AD__GSE32924__GPL570__AD_vs_HC,0.001370790,1.481672972,datasets,25 | 8,atopic,0.032985801
Immune,T cell,CD4+ T cell,AD,GSE32924,DZ_vs_HC,skin_v1,AD__GSE32924__GPL570__AD_vs_HC,0.001912552,1.350916155,datasets,25 | 8,atopic,0.044574229
Immune,T cell,CD4+ memory T cell,AD,GSE32924,DZ_vs_HC,skin_v1,AD__GSE32924__GPL570__AD_vs_HC,0.000565826,0.657201979,datasets,25 | 8,atopic,0.220190218
Immune,T cell,effector memory CD8+ T cell,AD,GSE32924,DZ_vs_HC,skin_v1,AD__GSE32924__GPL570__AD_vs_HC,5.340490791e-08,0.426997372,datasets,25 | 8,atopic,0.374112852
Immune,T cell,CD8+ T cell,AD,GSE32924,DZ_vs_HC,skin_v1,AD__GSE32924__GPL570__AD_vs_HC,7.234161788e-08,0.311142344,datasets,25 | 8,atopic,0.488492225
Immune,T cell,resident memory CD8+ T cell,AD,GSE32924,DZ_vs_HC,skin_v1,AD__GSE32924__GPL570__AD_vs_HC,1.215198592e-08,0.062801297,datasets,25 | 8,atopic,0.865363758
Stromal,Endothelial cell,capillary endothelial cell,AD,GSE32924,DZ_vs_HC,skin_v1,AD__GSE32924__GPL570__AD_vs_HC,0.007735926,3.176471664,datasets,25 | 8,atopic,0.000666083
Stromal,Endothelial cell,endothelial cell,AD,GSE32924,DZ_vs_HC,skin_v1,AD__GSE32924__GPL570__AD_vs_HC,0.006848836,1.213100559,datasets,25 | 8,atopic,0.061220862
Stromal,Endothelial cell,lymphatic endothelial cell,AD,GSE32924,DZ_vs_HC,skin_v1,AD__GSE32924__GPL570__AD_vs_HC,-0.001067632,0.268073544,datasets,25 | 8,atopic,0.539419269
Stromal,Endothelial cell,vein endothelial cell,AD,GSE32924,DZ_vs_HC,skin_v1,AD__GSE32924__GPL570__AD_vs_HC,-7.153912718e-09,0.211487182,datasets,25 | 8,atopic,0.614487167
Stromal,Endothelial cell,artery endothelial cell,AD,GSE32924,DZ_vs_HC,skin_v1,AD__GSE32924__GPL570__AD_vs_HC,1.921256089e-10,0,datasets,25 | 8,atopic,1
